target,stop,horizon,trades,wins,losses,unresolved,win_rate,pf,expectancy,total,max_dd,profit_to_dd
550,60,20,27,4,22,1,0.14814814814814814,1.4025974025974026,22.962962962962962,620.0,840.0,0.7380952380952381
600,180,20,27,8,18,1,0.2962962962962963,1.3801169590643274,48.148148148148145,1300.0,1670.0,0.7784431137724551
450,150,10,27,9,18,0,0.3333333333333333,1.375,40.0,1080.0,1440.0,0.75
450,150,15,27,9,18,0,0.3333333333333333,1.375,40.0,1080.0,1440.0,0.75
450,150,20,27,9,18,0,0.3333333333333333,1.375,40.0,1080.0,1440.0,0.75
450,150,30,27,9,18,0,0.3333333333333333,1.375,40.0,1080.0,1440.0,0.75
450,150,45,27,9,18,0,0.3333333333333333,1.375,40.0,1080.0,1440.0,0.75
450,150,60,27,9,18,0,0.3333333333333333,1.375,40.0,1080.0,1440.0,0.75
400,200,10,27,11,15,1,0.4074074074074074,1.361904761904762,42.22222222222222,1140.0,1680.0,0.6785714285714286
400,200,15,27,11,15,1,0.4074074074074074,1.361904761904762,42.22222222222222,1140.0,1680.0,0.6785714285714286
600,120,20,27,6,20,1,0.2222222222222222,1.3615384615384616,34.81481481481482,940.0,1490.0,0.6308724832214765
300,80,10,27,8,19,0,0.2962962962962963,1.3567251461988303,22.59259259259259,610.0,810.0,0.7530864197530864
300,80,15,27,8,19,0,0.2962962962962963,1.3567251461988303,22.59259259259259,610.0,810.0,0.7530864197530864
300,80,20,27,8,19,0,0.2962962962962963,1.3567251461988303,22.59259259259259,610.0,810.0,0.7530864197530864
300,80,30,27,8,19,0,0.2962962962962963,1.3567251461988303,22.59259259259259,610.0,810.0,0.7530864197530864
300,80,45,27,8,19,0,0.2962962962962963,1.3567251461988303,22.59259259259259,610.0,810.0,0.7530864197530864
300,80,60,27,8,19,0,0.2962962962962963,1.3567251461988303,22.59259259259259,610.0,810.0,0.7530864197530864
250,80,10,27,9,18,0,0.3333333333333333,1.3333333333333333,20.0,540.0,720.0,0.75
250,80,15,27,9,18,0,0.3333333333333333,1.3333333333333333,20.0,540.0,720.0,0.75
250,80,20,27,9,18,0,0.3333333333333333,1.3333333333333333,20.0,540.0,720.0,0.75
250,80,30,27,9,18,0,0.3333333333333333,1.3333333333333333,20.0,540.0,720.0,0.75
250,80,45,27,9,18,0,0.3333333333333333,1.3333333333333333,20.0,540.0,720.0,0.75
250,80,60,27,9,18,0,0.3333333333333333,1.3333333333333333,20.0,540.0,720.0,0.75
500,120,10,27,7,20,0,0.25925925925925924,1.3192307692307692,30.74074074074074,830.0,1590.0,0.5220125786163522
500,120,15,27,7,20,0,0.25925925925925924,1.3192307692307692,30.74074074074074,830.0,1590.0,0.5220125786163522
500,120,20,27,7,20,0,0.25925925925925924,1.3192307692307692,30.74074074074074,830.0,1590.0,0.5220125786163522
500,120,30,27,7,20,0,0.25925925925925924,1.3192307692307692,30.74074074074074,830.0,1590.0,0.5220125786163522
500,120,45,27,7,20,0,0.25925925925925924,1.3192307692307692,30.74074074074074,830.0,1590.0,0.5220125786163522
500,120,60,27,7,20,0,0.25925925925925924,1.3192307692307692,30.74074074074074,830.0,1590.0,0.5220125786163522
350,180,10,27,11,15,1,0.4074074074074074,1.312280701754386,32.96296296296296,890.0,1520.0,0.5855263157894737
350,180,15,27,11,15,1,0.4074074074074074,1.312280701754386,32.96296296296296,890.0,1520.0,0.5855263157894737
300,120,10,27,10,17,0,0.37037037037037035,1.3122171945701357,25.555555555555557,690.0,910.0,0.7582417582417582
300,120,15,27,10,17,0,0.37037037037037035,1.3122171945701357,25.555555555555557,690.0,910.0,0.7582417582417582
300,120,20,27,10,17,0,0.37037037037037035,1.3122171945701357,25.555555555555557,690.0,910.0,0.7582417582417582
300,120,30,27,10,17,0,0.37037037037037035,1.3122171945701357,25.555555555555557,690.0,910.0,0.7582417582417582
300,120,45,27,10,17,0,0.37037037037037035,1.3122171945701357,25.555555555555557,690.0,910.0,0.7582417582417582
300,120,60,27,10,17,0,0.37037037037037035,1.3122171945701357,25.555555555555557,690.0,910.0,0.7582417582417582
450,200,10,27,10,16,1,0.37037037037037035,1.3095238095238095,38.51851851851852,1040.0,1680.0,0.6190476190476191
450,200,15,27,10,16,1,0.37037037037037035,1.3095238095238095,38.51851851851852,1040.0,1680.0,0.6190476190476191
300,180,10,27,12,14,1,0.4444444444444444,1.3082706766917294,30.37037037037037,820.0,1140.0,0.7192982456140351
300,180,15,27,12,14,1,0.4444444444444444,1.3082706766917294,30.37037037037037,820.0,1140.0,0.7192982456140351
350,120,10,27,9,18,0,0.3333333333333333,1.3076923076923077,26.666666666666668,720.0,1170.0,0.6153846153846154
350,120,15,27,9,18,0,0.3333333333333333,1.3076923076923077,26.666666666666668,720.0,1170.0,0.6153846153846154
350,120,20,27,9,18,0,0.3333333333333333,1.3076923076923077,26.666666666666668,720.0,1170.0,0.6153846153846154
350,120,30,27,9,18,0,0.3333333333333333,1.3076923076923077,26.666666666666668,720.0,1170.0,0.6153846153846154
350,120,45,27,9,18,0,0.3333333333333333,1.3076923076923077,26.666666666666668,720.0,1170.0,0.6153846153846154
